name
United States. Office of Strategic Services
"Shelley, Mary Wollstonecraft"
"Melville, Herman"
"Shakespeare, William"
"Austen, Jane"
"Carroll, Lewis"
"Fitzgerald, F. Scott (Francis Scott)"
"Eliot, George"
"Forster, E. M. (Edward Morgan)"
"Ibsen, Henrik"
"Alcott, Louisa May"
"Von Arnim, Elizabeth"
"Wilde, Oscar"
"Gaskell, Elizabeth Cleghorn"
"Swift, Jonathan"
"Smollett, T. (Tobias)"
"Montgomery, L. M. (Lucy Maud)"
"Gilman, Charlotte Perkins"
"Fielding, Henry"
"Wagner, Richard"
"Dumas, Alexandre"
"Maquet, Auguste"
"Stevenson, Robert Louis"
"Stoker, Bram"
"Dostoyevsky, Fyodor"
"Kafka, Franz"
"Twain, Mark"
"Hawthorne, Nathaniel"
"Dickens, Charles"
"Du Bois, W. E. B. (William Edward Burghardt)"
"Dickens, Charles"
"Brontë, Charlotte"
"Machiavelli, Niccolò"
"Hobbes, Thomas"
"Jonson, Ben"
"Shelley, Mary Wollstonecraft"
Homer
"Conrad, Joseph"
"Dumas, Alexandre"
"Maquet, Auguste"
"Cervantes Saavedra, Miguel de"
"Doyle, Arthur Conan"
"Dostoyevsky, Fyodor"
"Nietzsche, Friedrich Wilhelm"
"Tolstoy, Leo, graf"
"Proust, Marcel"
"Rizal, José"
"Locke, John"
"Brontë, Emily"
"Thoreau, Henry David"
"Joyce, James"
"Grimm, Jacob"
"Grimm, Wilhelm"
Plato
"Douglass, Frederick"
"Twain, Mark"
"Lü, Kun"
"Montgomery, L. M. (Lucy Maud)"
"Baum, L. Frank (Lyman Frank)"
"Augustine, Saint, Bishop of Hippo"
"Rizal, José"
"Dostoyevsky, Fyodor"
"Joyce, James"
"Sunzi, active 6th century B.C."
"Equiano, Olaudah"
"Hugo, Victor"
"Mill, John Stuart"
Dante Alighieri
Anonymous
"Le Fanu, Joseph Sheridan"
"Irving, Washington"
"Poe, Edgar Allan"
"Doyle, Arthur Conan"
"Malory, Thomas, Sir"
"Wells, H. G. (Herbert George)"
Thucydides
"Cervantes Saavedra, Miguel de"
"Alcott, Louisa May"
"Figueiredo, Cândido de"
"Marcus Aurelius, Emperor of Rome"
"Spenser, Edmund"
Voltaire
"Balagtas, Francisco"
"Glaspell, Susan"
Vatsyayana
"Dickens, Charles"
"Marlowe, Christopher"
"Tolstoy, Leo, graf"
"Russell, Bertrand"
"Milne, A. A. (Alan Alexander)"
"Austen, Jane"
"Doyle, Arthur Conan"
"Shelley, Mary Wollstonecraft"
"Stevenson, Robert Louis"
"Salten, Felix"
"Riis, Jacob A. (Jacob August)"
"Chambers, Robert W. (Robert William)"
"Barrie, J. M. (James Matthew)"
"Jacobs, Harriet A. (Harriet Ann)"
"Dostoyevsky, Fyodor"
Aristotle
"Ward, Grady"
"Locke, John"
"Shakespeare, William"
"Smith, Adam"
"Machiavelli, Niccolò"
"Thompson, Silvanus P. (Silvanus Phillips)"
"Gibran, Kahlil"
"Swift, Jonathan"
Sophocles
"Wells, H. G. (Herbert George)"
"Carroll, Lewis"
"Goethe, Johann Wolfgang von"
"Franklin, Benjamin"
Ovid
"Blake, William"
"Hugo, Victor"
"London, Jack"
Aristophanes
"Kant, Immanuel"
"Defoe, Daniel"
"Fallows, Samuel"
"Sinclair, Upton"
"Darwin, Charles"
"Wittgenstein, Ludwig"
"James, Henry"
"Luce, Edmund"
"Nietzsche, Friedrich Wilhelm"
"Burnett, Frances Hodgson"
"Hoffmann, Heinrich"
"Milton, John"
"Christie, Agatha"
"Rowlandson, Mary White"
"Wells-Barnett, Ida B."
"Spinoza, Benedictus de"
"Tocqueville, Alexis de"
"Flaubert, Gustave"
"Shaw, Bernard"
"Shakespeare, William"
"Goethe, Johann Wolfgang von"
"Josephus, Flavius"
"Wharton, Edith"
"Joyce, James"
"Pascal, Blaise"
"Twain, Mark"
"Montaigne, Michel de"
"Doyle, Arthur Conan"
"Strunk, William"
"Rizal, José"
"Stowe, Harriet Beecher"
"Dickens, Charles"
"Dickens, Charles"
"Clausewitz, Carl von"
"Austen, Jane"
"Masters, Edgar Lee"
"Platt, Rutherford Hayes"
"Shakespeare, William"
"Byron, George Gordon Byron, Baron"
"Engels, Friedrich"
"Marx, Karl"
"Verne, Jules"
"Wells-Barnett, Ida B."
"Vonnegut, Kurt"
"Hardy, Thomas"
Aesop
"Crane, Stephen"
"Hesse, Hermann"
"Chopin, Kate"
"Potter, Beatrix"
Plato
"Hume, David"
"Nietzsche, Friedrich Wilhelm"
"Blake, William"
"Ibsen, Henrik"
"Cleland, John"
Boethius
"Maupassant, Guy de"
"Kipling, Rudyard"
"Descartes, René"
"Rizal, José"
"Paine, Thomas"
"Falkner, John Meade"
Suetonius
"Polidori, John William"
"Whitman, Walt"
"Emerson, Ralph Waldo"
"Rachinskii, Sergei Aleksandrovich"
"Dickens, Charles"
"Wells, H. G. (Herbert George)"
"Hawthorne, Nathaniel"
"Hamilton, Alexander"
"Jay, John"
"Madison, James"
Valmiki
"Nietzsche, Friedrich Wilhelm"
Anonymous
Homer
"Shakespeare, William"
"Wharton, Edith"
"Verne, Jules"
Aristotle
"Wilde, Oscar"
"Melville, Herman"
"Humboldt, Alexander von"
"Pope, Alexander"
"Poe, Edgar Allan"
"Dostoyevsky, Fyodor"
"Austen, Jane"
Apicius
"Dickens, Charles"
"Hugo, Victor"
"Song, Shangjie"
Boy Scouts of America
"Jerome, Jerome K. (Jerome Klapka)"
"Tocqueville, Alexis de"
"Milton, John"
"Kant, Immanuel"
"Wu, Cheng'en"
"Rizal, José"
Herodotus
"Bierce, Ambrose"
"Woolf, Virginia"
"Rand, Ayn"
"Chekhov, Anton Pavlovich"
"Thoreau, Henry David"
"Twain, Mark"
"Dickinson, Emily"
