title,description,release,cover,author_ids,category_ids,price,oneStarCount,twoStarCount,threeStarCount,fourStarCount,fiveStarCount
Simple Sabotage Field Manual,"""Simple Sabotage Field Manual"" by United States. Office of Strategic Services is a historical publication written during the early 1940s, amid World War II. This manual acts as a guide for ordinary civilians to conduct simple acts of sabotage against enemy operations without the need for specialized training or equipment. Its main topic revolves around promoting small, accessible forms of resistance that could collectively disrupt the enemy's war effort.  The manual outlines various strategies and techniques for citizens to engage in sabotage that could be executed discreetly and with minimal risk. It provides specific suggestions for targeting transportation, communication, and industrial facilities to create delays and inefficiencies in enemy operations. The manual emphasizes the power of many individuals acting independently to contribute to a larger campaign of disruption, encouraging simple acts such as misplacing tools, delaying communication, or damaging equipment with household items. Overall, the ""Simple Sabotage Field Manual"" serves as a unique historical artifact that illustrates grassroots resistance efforts and the belief in the collective power of ordinary people during wartime. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/26184/pg26184.cover.medium.jpg,1,1,19,108,415,254,320,438
"Frankenstein; Or, The Modern Prometheus","""Frankenstein; Or, The Modern Prometheus"" by Mary Wollstonecraft Shelley is a novel written in the early 19th century. The story explores themes of ambition, the quest for knowledge, and the consequences of man's hubris through the experiences of Victor Frankenstein and the monstrous creation of his own making.   The opening of the book introduces Robert Walton, an ambitious explorer on a quest to discover new lands and knowledge in the icy regions of the Arctic. In his letters to his sister Margaret, he expresses both enthusiasm and the fear of isolation in his grand venture. As Walton's expedition progresses, he encounters a mysterious, emaciated stranger who has faced great suffering—furthering the intrigue of his narrative. This stranger ultimately reveals his tale of creation, loss, and the profound consequences of seeking knowledge that lies beyond human bounds. The narrative is set up in a manner that suggests a deep examination of the emotions and ethical dilemmas faced by those who dare to defy the natural order. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/84/pg84.cover.medium.jpg,1,2|3|4|3|6|7|8|3|10|11|3,27,88,232,120,313,90
"Moby Dick; Or, The Whale","""Moby Dick; Or, The Whale"" by Herman Melville is a novel written in the mid-19th century. The story follows Ishmael, a sailor on a whaling voyage, who seeks adventure and escape from his gloomy life on land. As he embarks on this journey, he becomes drawn into the complex world of whaling and is introduced to the ominous figure of Captain Ahab, whose obsession with a legendary white whale ultimately drives the narrative.  At the start of the novel, Ishmael introduces himself and shares his philosophy about the sea as a remedy for his melancholic disposition. He muses on the magnetic pull of the ocean, describing not only his own urge to set sail but also the collective longing of city dwellers for the water. Ishmael's journey takes him to New Bedford, where he experiences a series of humorous and strange encounters while seeking lodging before joining a whaling ship. As he navigates his way through the town, he is introduced to Queequeg, a tattooed harpooner with a mysterious past, setting the stage for a unique friendship that unfolds amidst the backdrop of whaling adventures. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/2701/pg2701.cover.medium.jpg,1,13|14|3|16|3|18|19|20|3|22|3|24|3|26|3,18,337,293,455,366,481
Pride and Prejudice,"""Pride and Prejudice"" by Jane Austen is a classic novel written in the early 19th century. The story delves into themes of love, social class, and individual agency, largely revolving around the life of Elizabeth Bennet, one of five sisters from a modest but genteel family navigating the complex social landscape of Regency England.  The opening of the novel introduces the seemingly universal truth that a single man of wealth is a target for matchmaking mothers in the neighborhood. Mrs. Bennet is eager to marry off her daughters and is excited to hear about the arrival of Mr. Bingley, a wealthy young man who has taken up residence at Netherfield Park. Mr. Bennet's teasing yet indifferent nature contrasts sharply with Mrs. Bennet's anxious and businesslike demeanor as she plans to visit Mr. Bingley to create an opportunity for her daughters. Their witty exchanges set the tone for the story's exploration of family dynamics and social expectations, while also hinting at deeper character developments and the challenges Elizabeth will face regarding love and prejudice in her interactions with Mr. Darcy and the Bingley family. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/1342/pg1342.cover.medium.jpg,1,28|3|30|31|3|33|34|3|36|3|38|3,33,199,112,195,200,253
Romeo and Juliet,"""Romeo and Juliet"" by William Shakespeare is a tragedy likely written during the late 16th century. The play centers on the intense love affair between two young lovers, Romeo Montague and Juliet Capulet, whose families are embroiled in a bitter feud. Their love, while passionate and profound, is met with adversities that ultimately lead to tragic consequences.  At the start of the play, a Prologue delivered by the Chorus sets the stage for the tale of forbidden love, revealing the familial conflict that surrounds Romeo and Juliet. The opening scenes depict a public brawl ignited by the feud between the Montagues and Capulets, showcasing the hostility that envelops their lives. As we are introduced to various characters such as Benvolio, Tybalt, and Mercutio, we learn of Romeo's unrequited love for Rosaline. However, this quickly changes when Romeo encounters Juliet at the Capulet ball, where they share a famous and romantic exchange, unwittingly falling in love with each other despite their families' bitter enmity. This initial encounter foreshadows the obstacles they will face as their love story unfolds amidst chaos and conflict. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/1513/pg1513.cover.medium.jpg,1,40|41|42|41|44|41|46|47|41|49|41|51|41,28,24,215,471,194,440
Alice's Adventures in Wonderland,"""Alice's Adventures in Wonderland"" by Lewis Carroll is a classic children's novel written in the mid-19th century. The story follows a young girl named Alice who, feeling bored and sleepy while sitting by a riverbank, encounters a White Rabbit and follows it down a rabbit hole, plunging into a fantastical world filled with curious creatures and whimsical adventures.  The opening of the book introduces Alice as she daydreams about her surroundings before spotting the White Rabbit, who is both flustered and animated. Curious, Alice pursues the Rabbit and finds herself tumbling down a deep rabbit hole, leading to a curious hall filled with doors, all locked. After experiencing a series of bizarre changes in size from eating and drinking mysterious substances, she begins exploring this new world, initially frustrated by her newfound challenges as she navigates her size and the peculiar inhabitants she meets. The narrative sets the tone for Alice's whimsical and often nonsensical adventures that characterize the entire tale. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/11/pg11.cover.medium.jpg,1,53|54|55|56|57|54,19,42,401,196,236,469
The Great Gatsby,"""The Great Gatsby"" by F. Scott Fitzgerald is a novel written in the early 20th century. The story is mainly narrated by Nick Carraway, who reflects on the life of his enigmatic neighbor, Jay Gatsby, and the extravagant world of wealth and excess he inhabits. The novel explores themes of the American Dream, love, and social class.  At the start of the novel, Nick Carraway reflects on advice from his father about withholding judgment of others, which sets the stage for the unfolding narrative. We learn about Nick's background, his move to West Egg, and his connection to wealthy acquaintances like Tom and Daisy Buchanan. Nick's first glimpse of Gatsby is during a moment of solitude when he sees Gatsby reaching out toward a distant green light, symbolizing his unattainable dreams. This opening portion lays the groundwork for the intricate relationships and social dynamics in the world of 1920s America, hinting at the luxurious yet hollow lives that many characters lead. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/64317/pg64317.cover.medium.jpg,1,59|3|61|3|63|3|18|65|3,19,185,339,369,219,67
A Doll's House : a play,"""A Doll's House"" by Henrik Ibsen is a three-act play written during the late 19th century. The story revolves around Nora Helmer and her seemingly perfect marriage to Torvald Helmer, as well as themes of gender roles, deception, and the struggle for identity within the constraints of societal expectations.  At the start of the play, we meet Nora, who enters her home in high spirits, preparing for Christmas and eagerly discussing her acquisitions with her husband, Torvald. Their playful banter reveals Nora's childlike demeanor and Torvald's patronizing affection for her. As they converse, it becomes evident there are underlying tensions: Nora has kept a significant secret involving a loan she took out to save Torvald's life during an illness. The arrival of Nora's old friend, Mrs. Linde, introduces additional complexity to the narrative. Their conversation hints at Nora’s hidden struggles and foreshadows the impending conflict as Krogstad, who has connections to Nora’s loan, enters the picture, setting the stage for the unfolding drama. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/2542/pg2542.cover.medium.jpg,1,67|41|69|41|71|72|73|41,22,92,422,408,130,252
The Importance of Being Earnest: A Trivial Comedy for Serious People,"""The Importance of Being Earnest: A Trivial Comedy for Serious People"" by Oscar Wilde is a play written in the late 19th century. This witty farce revolves around the theme of mistaken identities and the absurdities of Victorian society, focusing on the lives of two friends, John Worthing and Algernon Moncrieff, who both assume fictitious personas to escape their societal obligations.   The opening of the play establishes Algernon Moncrieff's opulent flat, where he converses with his manservant Lane about the complexity of life and marriage. John Worthing, or ""Ernest"" in town, visits Algernon, expressing his purpose of proposing to Gwendolen Fairfax, Algernon's cousin. Through clever dialogue, the two men discuss their escapades and the concept of ""Bunburying,"" a euphemism for creating a fictional identity to avoid responsibilities. This sets the stage for comedic misunderstandings and romantic entanglements that unfold as they both navigate their relationships with the women in their lives, Gwendolen and Cecily Cardew. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/844/pg844.cover.medium.jpg,1,75|31|41|78|41|80|41,27,419,88,402,327,202
The Complete Works of William Shakespeare,"""The Complete Works of William Shakespeare"" by William Shakespeare is a collection of classic literary works written in the late 16th to early 17th centuries. This comprehensive anthology includes a wide range of genres, encompassing sonnets, comedies, histories, and tragedies, all showcasing Shakespeare's unparalleled mastery of language and character development. Important themes such as love, ambition, betrayal, and the complexities of human nature resonate throughout these timeless pieces.  At the start of this collection, the reader is immediately introduced to Shakespeare's ""Sonnets,"" which serve as an eloquent prelude to his themes of love and beauty. These opening verses explore the fleeting nature of beauty and time, with a poignant focus on the necessity of procreation to preserve youthful beauty. The sonnets address a young man of remarkable beauty and the poet's passionate urge for him to reproduce, emphasizing the tensions between self-love and the desire for legacy. Through rhythmic language and rich imagery, the sonnets present a universal contemplation on love, mortality, and the human experience, inviting readers to engage deeply with concepts that remain relevant today. (This is an automatically generated summary.)",1949-06-08,https://www.gutenberg.org/cache/epub/100/pg100.cover.medium.jpg,1,82|83,13,244,312,457,409,46
